"","City","total_deaths","Massachusetts.Cities.by.Population.Rank","Population","County","Year","Deaths"
"1","Abington",15,122,16396,"Plymouth","2013",2
"2","Acton",15,84,23777,"Middlesex","2013",0
"3","Acushnet",16,178,10544,"Bristol","2013",0
"4","Adams",7,204,8090,"Berkshire","2013",1
"5","Agawam",21,NA,28849,"Hampden","2013",3
"6","Alford",0,342,486,"Berkshire","2013",0
"7","Amesbury",27,NA,17457,"Essex","2013",2
"8","Amherst",10,40,40046,"Hampshire","2013",2
"9","Andover",21,46,35937,"Essex","2013",4
"10","Aquinnah",2,345,327,"Dukes","2013",0
"11","Arlington",23,28,45510,"Middlesex","2013",3
"12","Ashburnham",4,231,6304,"Worcester","2013",0
"13","Ashby",0,272,3223,"Middlesex","2013",0
"14","Ashfield",1,301,1733,"Franklin","2013",0
"15","Ashland",12,112,17706,"Middlesex","2013",0
"16","Athol",15,167,11711,"Worcester","2013",2
"17","Attleboro",77,29,44590,"Bristol","2013",13
"18","Auburn",11,119,16702,"Worcester","2013",2
"19","Avon",11,258,4496,"Norfolk","2013",1
"20","Ayer",11,201,8145,"Middlesex","2013",1
"21","Barnstable",66,NA,44163,"Barnstable","2013",8
"22","Barre",3,240,5569,"Worcester","2013",0
"23","Becket",0,302,1723,"Berkshire","2013",0
"24","Bedford",13,141,14197,"Middlesex","2013",0
"25","Belchertown",14,133,15100,"Hampshire","2013",3
"26","Bellingham",15,116,17093,"Norfolk","2013",1
"27","Belmont",14,74,26458,"Middlesex","2013",0
"28","Berkley",11,223,6707,"Bristol","2013",1
"29","Berlin",1,273,3176,"Worcester","2013",0
"30","Bernardston",1,287,2111,"Franklin","2013",0
"31","Beverly",56,34,41816,"Essex","2013",5
"32","Billerica",59,31,43962,"Middlesex","2013",4
"33","Blackstone",13,191,9304,"Worcester","2013",0
"34","Blandford",0,316,1260,"Hampden","2013",0
"35","Bolton",3,243,5283,"Worcester","2013",0
"36","Boston",730,1,685094,"Suffolk","2013",87
"37","Bourne",36,97,19879,"Barnstable","2013",2
"38","Boxborough",2,227,6401,"Middlesex","2013",0
"39","Boxford",4,198,8310,"Essex","2013",0
"40","Boylston",3,257,4634,"Worcester","2013",0
"41","Braintree",46,NA,37156,"Norfolk","2013",4
"42","Brewster",5,184,9836,"Barnstable","2013",1
"43","Bridgewater",39,71,27478,"Plymouth","2013",5
"44","Brimfield",2,264,3745,"Hampden","2013",0
"45","Brockton",193,6,95672,"Plymouth","2013",27
"46","Brookfield",6,268,3437,"Worcester","2013",1
"47","Brookline",13,19,59157,"Norfolk","2013",1
"48","Buckland",2,294,1874,"Franklin","2013",1
"49","Burlington",25,72,27176,"Middlesex","2013",3
"50","Cambridge",65,4,113630,"Middlesex","2013",6
"51","Canton",29,85,23444,"Norfolk","2013",4
"52","Carlisle",0,245,5235,"Middlesex","2013",0
"53","Carver",27,166,11715,"Plymouth","2013",2
"54","Charlemont",0,319,1240,"Franklin","2013",0
"55","Charlton",12,150,13571,"Worcester","2013",1
"56","Chatham",4,233,6169,"Barnstable","2013",0
"57","Chelmsford",24,48,35099,"Middlesex","2013",3
"58","Chelsea",60,39,40227,"Suffolk","2013",7
"59","Cheshire",1,275,3142,"Berkshire","2013",0
"60","Chester",1,312,1380,"Hampden","2013",0
"61","Chesterfield",0,317,1258,"Hampshire","2013",0
"62","Chicopee",79,23,55515,"Hampden","2013",9
"63","Chilmark",1,326,916,"Dukes","2013",0
"64","Clarksburg",2,304,1643,"Berkshire","2013",1
"65","Clinton",21,146,13963,"Worcester","2013",2
"66","Cohasset",6,197,8516,"Norfolk","2013",0
"67","Colrain",0,303,1665,"Franklin","2013",0
"68","Concord",2,98,19237,"Middlesex","2013",0
"69","Conway",0,293,1878,"Franklin","2013",0
"70","Cummington",0,329,881,"Hampshire","2013",0
"71","Dalton",1,224,6581,"Berkshire","2013",0
"72","Danvers",30,70,27558,"Essex","2013",6
"73","Dartmouth",26,49,34336,"Bristol","2013",2
"74","Dedham",25,77,25364,"Norfolk","2013",3
"75","Deerfield",1,249,5026,"Franklin","2013",0
"76","Dennis",24,148,13917,"Barnstable","2013",4
"77","Dighton",5,212,7715,"Bristol","2013",1
"78","Douglas",6,193,8869,"Worcester","2013",0
"79","Dover",1,235,6041,"Norfolk","2013",0
"80","Dracut",31,53,31619,"Middlesex","2013",6
"81","Dudley",7,165,11768,"Worcester","2013",3
"82","Dunstable",2,269,3379,"Middlesex","2013",1
"83","Duxbury",7,127,15928,"Plymouth","2013",0
"84","East Bridgewater",13,138,14465,"Plymouth","2013",4
"85","East Brookfield",0,285,2195,"Worcester","2013",0
"86","East Longmeadow",12,123,16291,"Hampden","2013",5
"87","Eastham",10,251,4882,"Barnstable","2013",2
"88","Easthampton",18,NA,24984,"Hampshire","2013",6
"89","Easton",30,79,24984,"Bristol","2013",2
"90","Edgartown",0,260,4321,"Dukes","2013",0
"91","Egremont",0,320,1205,"Berkshire","2013",0
"92","Erving",1,298,1767,"Franklin","2013",1
"93","Essex",1,263,3748,"Essex","2013",0
"94","Everett",90,27,46324,"Middlesex","2013",5
"95","Fairhaven",NA,125,16055,"Bristol","2013",4
"96","Foxborough",13,113,17574,"Norfolk","2013",1
"97","Framingham",53,14,72032,"Middlesex","2013",4
"98","Franklin",23,NA,32996,"Norfolk","2013",2
"99","Freetown",14,190,9339,"Bristol","2013",0
"100","Gardner",33,92,20640,"Worcester","2013",4
"101","Georgetown",9,196,8688,"Essex","2013",1
"102","Gill",2,309,1499,"Franklin","2013",0
"103","Gloucester",49,58,30172,"Essex","2013",6
"104","Goshen",1,322,1065,"Hampshire","2013",0
"105","Gosnold",0,350,76,"Dukes","2013",0
"106","Grafton",8,102,18761,"Worcester","2013",3
"107","Granby",7,228,6332,"Hampshire","2013",2
"108","Granville",0,306,1624,"Hampden","2013",0
"109","Great Barrington",2,220,6855,"Berkshire","2013",0
"110","Greenfield",27,NA,17456,"Franklin","2013",5
"111","Groton",3,170,11364,"Middlesex","2013",1
"112","Groveland",4,221,6789,"Essex","2013",1
"113","Hadley",4,242,5335,"Hampshire","2013",0
"114","Halifax",8,209,7855,"Plymouth","2013",5
"115","Hamilton",5,207,8051,"Essex","2013",1
"116","Hampden",3,247,5196,"Hampden","2013",0
"117","Hancock",1,337,698,"Berkshire","2013",0
"118","Hanover",10,139,14444,"Plymouth","2013",1
"119","Hanson",12,176,10777,"Plymouth","2013",1
"120","Hardwick",4,276,3025,"Worcester","2013",0
"121","Harvard",1,225,6569,"Worcester","2013",1
"122","Harwich",11,161,12145,"Barnstable","2013",2
"123","Hatfield",7,270,3299,"Hampshire","2013",3
"124","Haverhill",138,15,63639,"Essex","2013",8
"125","Hawley",0,344,337,"Franklin","2013",0
"126","Heath",0,336,699,"Franklin","2013",0
"127","Hingham",3,86,23415,"Plymouth","2013",1
"128","Hinsdale",5,290,1932,"Berkshire","2013",0
"129","Holbrook",22,174,11026,"Norfolk","2013",4
"130","Holden",15,100,18943,"Worcester","2013",0
"131","Holland",1,283,2496,"Hampden","2013",0
"132","Holliston",10,136,14753,"Middlesex","2013",1
"133","Holyoke",48,38,40341,"Hampden","2013",8
"134","Hopedale",7,236,5976,"Worcester","2013",0
"135","Hopkinton",10,109,18035,"Middlesex","2013",0
"136","Hubbardston",6,254,4715,"Worcester","2013",0
"137","Hudson",15,95,19944,"Middlesex","2013",1
"138","Hull",18,179,10449,"Plymouth","2013",0
"139","Huntington",0,286,2186,"Hampshire","2013",0
"140","Ipswich",14,144,13995,"Essex","2013",1
"141","Kingston",12,151,13565,"Plymouth","2013",0
"142","Lakeville",7,168,11424,"Plymouth","2013",1
"143","Lancaster",6,205,8074,"Worcester","2013",0
"144","Lanesborough",4,279,2965,"Berkshire","2013",0
"145","Lawrence",145,13,80162,"Essex","2013",10
"146","Lee",8,238,5725,"Berkshire","2013",0
"147","Leicester",11,169,11373,"Worcester","2013",2
"148","Lenox",3,250,4957,"Berkshire","2013",1
"149","Leominster",52,36,41615,"Worcester","2013",6
"150","Leverett",1,295,1853,"Franklin","2013",0
"151","Lexington",8,51,33727,"Middlesex","2013",1
"152","Leyden",0,335,715,"Franklin","2013",0
"153","Lincoln",1,222,6781,"Middlesex","2013",0
"154","Littleton",3,181,10115,"Middlesex","2013",0
"155","Longmeadow",6,129,15864,"Hampden","2013",3
"156","Lowell",246,5,111346,"Middlesex","2013",25
"157","Ludlow",18,91,21502,"Hampden","2013",2
"158","Lunenburg",11,171,11312,"Worcester","2013",3
"159","Lynn",221,9,94063,"Essex","2013",25
"160","Lynnfield",7,154,12942,"Essex","2013",0
"161","Malden",82,17,61246,"Middlesex","2013",12
"162","Manchester",2,NA,5393,"Essex","2013",0
"163","Mansfield",25,82,23946,"Bristol","2013",4
"164","Marblehead",12,93,20554,"Essex","2013",2
"165","Marion",4,248,5107,"Plymouth","2013",0
"166","Marlborough",29,41,39873,"Middlesex","2013",3
"167","Marshfield",32,76,25836,"Plymouth","2013",4
"168","Mashpee",27,142,14191,"Barnstable","2013",5
"169","Mattapoisett",5,229,6330,"Plymouth","2013",0
"170","Maynard",7,177,10665,"Middlesex","2013",0
"171","Medfield",1,155,12845,"Norfolk","2013",0
"172","Medford",78,20,57797,"Middlesex","2013",9
"173","Medway",5,152,13329,"Norfolk","2013",1
"174","Melrose",31,67,28367,"Middlesex","2013",5
"175","Mendon",3,234,6094,"Worcester","2013",2
"176","Merrimac",5,219,6913,"Essex","2013",1
"177","Methuen",60,NA,50259,"Essex","2013",6
"178","Middleborough",41,80,24873,"Plymouth","2013",6
"179","Middlefield",0,NA,536,"Hampshire","2013",0
"180","Middleton",11,182,9861,"Essex","2013",0
"181","Milford",26,62,28933,"Worcester","2013",2
"182","Millbury",21,149,13733,"Worcester","2013",2
"183","Millis",8,200,8216,"Norfolk","2013",1
"184","Millville",1,271,3252,"Worcester","2013",0
"185","Milton",12,69,27575,"Norfolk","2013",0
"186","Monroe",0,349,118,"Franklin","2013",0
"187","Monson",6,194,8836,"Hampden","2013",2
"188","Montague",8,199,8259,"Franklin","2013",0
"189","Monterey",0,325,936,"Berkshire","2013",0
"190","Montgomery",1,331,864,"Hampden","2013",0
"191","Mount Washington",0,348,158,"Berkshire","2013",0
"192","Nahant",3,266,3502,"Essex","2013",0
"193","Nantucket",8,172,11229,"Nantucket","2013",1
"194","Natick",25,45,36246,"Middlesex","2013",3
"195","Needham",3,57,30999,"Norfolk","2013",0
"196","New Ashford",1,347,223,"Berkshire","2013",0
"197","New Bedford",212,7,95120,"Bristol","2013",29
"198","New Braintree",0,323,1025,"Worcester","2013",0
"199","New Marlborough",1,310,1458,"Berkshire","2013",0
"200","New Salem",1,324,1017,"Franklin","2013",0
"201","Newbury",6,218,7079,"Essex","2013",1
"202","Newburyport",18,108,18060,"Essex","2013",2
"203","Newton",40,11,88994,"Middlesex","2013",2
"204","Norfolk",6,164,11793,"Norfolk","2013",0
"205","North Adams",23,153,12970,"Berkshire","2013",1
"206","North Andover",15,56,31013,"Essex","2013",1
"207","North Attleboro",36,NA,29153,"Bristol","2013",5
"208","North Brookfield",5,253,4793,"Worcester","2013",0
"209","North Reading",12,130,15735,"Middlesex","2013",1
"210","Northampton",33,65,28593,"Hampshire","2013",4
"211","Northborough",5,134,15033,"Worcester","2013",0
"212","Northbridge",12,120,16630,"Worcester","2013",1
"213","Northfield",1,277,2988,"Franklin","2013",0
"214","Norton",22,96,19882,"Bristol","2013",4
"215","Norwell",11,173,11067,"Plymouth","2013",1
"216","Norwood",28,60,29195,"Norfolk","2013",2
"217","Oak Bluffs",7,255,4678,"Dukes","2013",1
"218","Oakham",0,289,1946,"Worcester","2013",0
"219","Orange",9,214,7651,"Franklin","2013",2
"220","Orleans",3,237,5820,"Barnstable","2013",1
"221","Otis",1,308,1549,"Berkshire","2013",0
"222","Oxford",21,145,13980,"Worcester","2013",1
"223","Palmer",9,NA,21140,"Hampden","2013",1
"224","Paxton",3,252,4881,"Worcester","2013",1
"225","Peabody",71,25,52987,"Essex","2013",12
"226","Pelham",0,313,1325,"Hampshire","2013",0
"227","Pembroke",24,105,18377,"Plymouth","2013",1
"228","Pepperell",10,160,12146,"Middlesex","2013",1
"229","Peru",1,332,837,"Berkshire","2013",0
"230","Petersham",1,318,1250,"Worcester","2013",1
"231","Phillipston",0,300,1744,"Worcester","2013",0
"232","Pittsfield",76,33,42591,"Berkshire","2013",15
"233","Plainfield",0,339,662,"Hampshire","2013",0
"234","Plainville",13,192,9154,"Norfolk","2013",1
"235","Plymouth",91,18,59885,"Plymouth","2013",6
"236","Plympton",3,278,2971,"Plymouth","2013",0
"237","Princeton",4,267,3454,"Worcester","2013",1
"238","Provincetown",1,280,2959,"Barnstable","2013",0
"239","Quincy",196,8,94166,"Norfolk","2013",26
"240","Randolph",41,50,34272,"Norfolk","2013",5
"241","Raynham",17,140,14203,"Bristol","2013",2
"242","Reading",17,75,26106,"Middlesex","2013",1
"243","Rehoboth",4,158,12188,"Bristol","2013",0
"244","Revere",110,24,53993,"Suffolk","2013",15
"245","Richmond",1,311,1412,"Berkshire","2013",1
"246","Rochester",3,239,5575,"Plymouth","2013",0
"247","Rockland",55,110,17957,"Plymouth","2013",3
"248","Rockport",9,215,7246,"Essex","2013",1
"249","Rowe",0,343,388,"Franklin","2013",0
"250","Rowley",5,230,6325,"Essex","2013",2
"251","Royalston",3,314,1272,"Worcester","2013",2
"252","Russell",0,297,1793,"Hampden","2013",0
"253","Rutland",5,195,8700,"Worcester","2013",0
"254","Salem",74,32,43415,"Essex","2013",7
"255","Salisbury",31,189,9400,"Essex","2013",1
"256","Sandisfield",0,327,893,"Berkshire","2013",0
"257","Sandwich",14,94,20303,"Barnstable","2013",2
"258","Saugus",46,68,28251,"Essex","2013",7
"259","Savoy",0,338,680,"Berkshire","2013",0
"260","Scituate",17,103,18688,"Plymouth","2013",2
"261","Seekonk",10,131,15548,"Bristol","2013",0
"262","Sharon",10,106,18277,"Norfolk","2013",3
"263","Sheffield",1,274,3149,"Berkshire","2013",0
"264","Shelburne",3,296,1848,"Franklin","2013",0
"265","Sherborn",4,259,4323,"Middlesex","2013",0
"266","Shirley",7,213,7672,"Middlesex","2013",0
"267","Shrewsbury",24,43,37387,"Worcester","2013",6
"268","Shutesbury",0,299,1754,"Franklin","2013",0
"269","Somerset",17,107,18176,"Bristol","2013",1
"270","Somerville",81,12,81360,"Middlesex","2013",11
"271","South Hadley",13,111,17791,"Hampshire","2013",4
"272","Southampton",5,232,6196,"Hampshire","2013",1
"273","Southborough",1,180,10136,"Worcester","2013",0
"274","Southbridge",28,NA,16911,"Worcester","2013",2
"275","Southwick",8,185,9758,"Hampden","2013",0
"276","Spencer",22,162,11954,"Worcester","2013",1
"277","Springfield",163,3,154758,"Hampden","2013",22
"278","Sterling",4,203,8136,"Worcester","2013",1
"279","Stockbridge",2,291,1906,"Berkshire","2013",1
"280","Stoneham",27,90,22036,"Middlesex","2013",2
"281","Stoughton",49,66,28528,"Norfolk","2013",7
"282","Stow",3,217,7102,"Middlesex","2013",0
"283","Sturbridge",10,186,9584,"Worcester","2013",1
"284","Sudbury",0,101,18867,"Middlesex","2013",0
"285","Sunderland",3,265,3644,"Franklin","2013",1
"286","Sutton",1,188,9458,"Worcester","2013",0
"287","Swampscott",15,132,15177,"Essex","2013",4
"288","Swansea",15,121,16528,"Bristol","2013",4
"289","Taunton",106,21,57139,"Bristol","2013",13
"290","Templeton",12,202,8138,"Worcester","2013",1
"291","Tewksbury",40,54,31247,"Middlesex","2013",1
"292","Tisbury",6,261,4109,"Dukes","2013",0
"293","Tolland",0,341,500,"Hampden","2013",0
"294","Topsfield",4,226,6560,"Essex","2013",1
"295","Townsend",13,187,9522,"Middlesex","2013",4
"296","Truro",1,288,2004,"Barnstable","2013",0
"297","Tyngsborough",11,156,12357,"Middlesex","2013",1
"298","Tyringham",1,346,319,"Berkshire","2013",0
"299","Upton",4,208,7926,"Worcester","2013",1
"300","Uxbridge",9,143,13997,"Worcester","2013",3
"301","Wakefield",37,73,27157,"Middlesex","2013",8
"302","Wales",1,292,1892,"Hampden","2013",0
"303","Walpole",19,78,25073,"Norfolk","2013",3
"304","Waltham",61,16,62442,"Middlesex","2013",9
"305","Ware",21,183,9853,"Hampshire","2013",4
"306","Wareham",57,89,22640,"Plymouth","2013",9
"307","Warren",6,246,5218,"Worcester","2013",1
"308","Warwick",1,333,762,"Franklin","2013",0
"309","Washington",0,NA,536,"Berkshire","2013",0
"310","Watertown",39,NA,35756,"Middlesex","2013",7
"311","Wayland",6,147,13954,"Middlesex","2013",0
"312","Webster",29,117,17020,"Worcester","2013",3
"313","Wellesley",4,59,29479,"Norfolk","2013",0
"314","Wellfleet",4,282,2736,"Barnstable","2013",1
"315","Wendell",0,328,883,"Franklin","2013",0
"316","Wenham",4,244,5246,"Essex","2013",1
"317","West Boylston",8,206,8056,"Worcester","2013",1
"318","West Bridgewater",12,216,7231,"Plymouth","2013",2
"319","West Brookfield",4,262,3779,"Worcester","2013",1
"320","West Newbury",0,256,4637,"Essex","2013",0
"321","West Springfield",39,NA,28704,"Hampden","2013",7
"322","West Stockbridge",1,315,1267,"Berkshire","2013",0
"323","West Tisbury",2,281,2898,"Dukes","2013",0
"324","Westborough",11,99,19109,"Worcester","2013",0
"325","Westfield",47,35,41700,"Hampden","2013",7
"326","Westford",12,81,24310,"Middlesex","2013",0
"327","Westhampton",0,305,1641,"Hampshire","2013",0
"328","Westminster",3,211,7766,"Worcester","2013",0
"329","Weston",4,159,12150,"Middlesex","2013",1
"330","Westport",18,128,15910,"Bristol","2013",2
"331","Westwood",8,124,16056,"Norfolk","2013",0
"332","Weymouth",122,NA,56664,"Norfolk","2013",13
"333","Whately",0,307,1551,"Franklin","2013",0
"334","Whitman",23,135,15022,"Plymouth","2013",3
"335","Wilbraham",3,137,14671,"Hampden","2013",0
"336","Williamsburg",2,284,2492,"Hampshire","2013",1
"337","Williamstown",3,210,7835,"Berkshire","2013",1
"338","Wilmington",24,83,23803,"Middlesex","2013",3
"339","Winchendon",9,175,10862,"Worcester","2013",1
"340","Winchester",9,88,22838,"Middlesex","2013",0
"341","Windsor",0,330,873,"Berkshire","2013",0
"342","Winthrop",26,NA,18625,"Suffolk","2013",2
"343","Woburn",50,42,39701,"Middlesex","2013",6
"344","Worcester",334,2,185677,"Worcester","2013",43
"345","Worthington",0,321,1193,"Hampshire","2013",0
"346","Wrentham",13,163,11838,"Norfolk","2013",0
"347","Yarmouth",38,87,23339,"Barnstable","2013",8
"348","Unknown",4,NA,NA,NA,"2013",0
"349","Abington",15,122,16396,"Plymouth","2014",2
"350","Acton",15,84,23777,"Middlesex","2014",3
"351","Acushnet",16,178,10544,"Bristol","2014",1
"352","Adams",7,204,8090,"Berkshire","2014",2
"353","Agawam",21,NA,28849,"Hampden","2014",3
"354","Alford",0,342,486,"Berkshire","2014",0
"355","Amesbury",27,NA,17457,"Essex","2014",1
"356","Amherst",10,40,40046,"Hampshire","2014",2
"357","Andover",21,46,35937,"Essex","2014",6
"358","Aquinnah",2,345,327,"Dukes","2014",1
"359","Arlington",23,28,45510,"Middlesex","2014",5
"360","Ashburnham",4,231,6304,"Worcester","2014",1
"361","Ashby",0,272,3223,"Middlesex","2014",0
"362","Ashfield",1,301,1733,"Franklin","2014",0
"363","Ashland",12,112,17706,"Middlesex","2014",1
"364","Athol",15,167,11711,"Worcester","2014",2
"365","Attleboro",77,29,44590,"Bristol","2014",10
"366","Auburn",11,119,16702,"Worcester","2014",1
"367","Avon",11,258,4496,"Norfolk","2014",2
"368","Ayer",11,201,8145,"Middlesex","2014",1
"369","Barnstable",66,NA,44163,"Barnstable","2014",11
"370","Barre",3,240,5569,"Worcester","2014",0
"371","Becket",0,302,1723,"Berkshire","2014",0
"372","Bedford",13,141,14197,"Middlesex","2014",3
"373","Belchertown",14,133,15100,"Hampshire","2014",2
"374","Bellingham",15,116,17093,"Norfolk","2014",2
"375","Belmont",14,74,26458,"Middlesex","2014",4
"376","Berkley",11,223,6707,"Bristol","2014",2
"377","Berlin",1,273,3176,"Worcester","2014",0
"378","Bernardston",1,287,2111,"Franklin","2014",0
"379","Beverly",56,34,41816,"Essex","2014",8
"380","Billerica",59,31,43962,"Middlesex","2014",12
"381","Blackstone",13,191,9304,"Worcester","2014",2
"382","Blandford",0,316,1260,"Hampden","2014",0
"383","Bolton",3,243,5283,"Worcester","2014",0
"384","Boston",730,1,685094,"Suffolk","2014",108
"385","Bourne",36,97,19879,"Barnstable","2014",5
"386","Boxborough",2,227,6401,"Middlesex","2014",0
"387","Boxford",4,198,8310,"Essex","2014",0
"388","Boylston",3,257,4634,"Worcester","2014",0
"389","Braintree",46,NA,37156,"Norfolk","2014",8
"390","Brewster",5,184,9836,"Barnstable","2014",1
"391","Bridgewater",39,71,27478,"Plymouth","2014",4
"392","Brimfield",2,264,3745,"Hampden","2014",0
"393","Brockton",193,6,95672,"Plymouth","2014",26
"394","Brookfield",6,268,3437,"Worcester","2014",2
"395","Brookline",13,19,59157,"Norfolk","2014",1
"396","Buckland",2,294,1874,"Franklin","2014",0
"397","Burlington",25,72,27176,"Middlesex","2014",3
"398","Cambridge",65,4,113630,"Middlesex","2014",8
"399","Canton",29,85,23444,"Norfolk","2014",4
"400","Carlisle",0,245,5235,"Middlesex","2014",0
"401","Carver",27,166,11715,"Plymouth","2014",5
"402","Charlemont",0,319,1240,"Franklin","2014",0
"403","Charlton",12,150,13571,"Worcester","2014",1
"404","Chatham",4,233,6169,"Barnstable","2014",1
"405","Chelmsford",24,48,35099,"Middlesex","2014",3
"406","Chelsea",60,39,40227,"Suffolk","2014",7
"407","Cheshire",1,275,3142,"Berkshire","2014",0
"408","Chester",1,312,1380,"Hampden","2014",0
"409","Chesterfield",0,317,1258,"Hampshire","2014",0
"410","Chicopee",79,23,55515,"Hampden","2014",7
"411","Chilmark",1,326,916,"Dukes","2014",1
"412","Clarksburg",2,304,1643,"Berkshire","2014",0
"413","Clinton",21,146,13963,"Worcester","2014",4
"414","Cohasset",6,197,8516,"Norfolk","2014",3
"415","Colrain",0,303,1665,"Franklin","2014",0
"416","Concord",2,98,19237,"Middlesex","2014",0
"417","Conway",0,293,1878,"Franklin","2014",0
"418","Cummington",0,329,881,"Hampshire","2014",0
"419","Dalton",1,224,6581,"Berkshire","2014",0
"420","Danvers",30,70,27558,"Essex","2014",4
"421","Dartmouth",26,49,34336,"Bristol","2014",7
"422","Dedham",25,77,25364,"Norfolk","2014",4
"423","Deerfield",1,249,5026,"Franklin","2014",0
"424","Dennis",24,148,13917,"Barnstable","2014",7
"425","Dighton",5,212,7715,"Bristol","2014",0
"426","Douglas",6,193,8869,"Worcester","2014",0
"427","Dover",1,235,6041,"Norfolk","2014",0
"428","Dracut",31,53,31619,"Middlesex","2014",7
"429","Dudley",7,165,11768,"Worcester","2014",2
"430","Dunstable",2,269,3379,"Middlesex","2014",0
"431","Duxbury",7,127,15928,"Plymouth","2014",2
"432","East Bridgewater",13,138,14465,"Plymouth","2014",2
"433","East Brookfield",0,285,2195,"Worcester","2014",0
"434","East Longmeadow",12,123,16291,"Hampden","2014",1
"435","Eastham",10,251,4882,"Barnstable","2014",5
"436","Easthampton",18,NA,24984,"Hampshire","2014",2
"437","Easton",30,79,24984,"Bristol","2014",7
"438","Edgartown",0,260,4321,"Dukes","2014",0
"439","Egremont",0,320,1205,"Berkshire","2014",0
"440","Erving",1,298,1767,"Franklin","2014",0
"441","Essex",1,263,3748,"Essex","2014",0
"442","Everett",90,27,46324,"Middlesex","2014",29
"443","Fairhaven",NA,125,16055,"Bristol","2014",2
"444","Foxborough",13,113,17574,"Norfolk","2014",3
"445","Framingham",53,14,72032,"Middlesex","2014",11
"446","Franklin",23,NA,32996,"Norfolk","2014",5
"447","Freetown",14,190,9339,"Bristol","2014",2
"448","Gardner",33,92,20640,"Worcester","2014",6
"449","Georgetown",9,196,8688,"Essex","2014",2
"450","Gill",2,309,1499,"Franklin","2014",2
"451","Gloucester",49,58,30172,"Essex","2014",6
"452","Goshen",1,322,1065,"Hampshire","2014",1
"453","Gosnold",0,350,76,"Dukes","2014",0
"454","Grafton",8,102,18761,"Worcester","2014",2
"455","Granby",7,228,6332,"Hampshire","2014",2
"456","Granville",0,306,1624,"Hampden","2014",0
"457","Great Barrington",2,220,6855,"Berkshire","2014",1
"458","Greenfield",27,NA,17456,"Franklin","2014",3
"459","Groton",3,170,11364,"Middlesex","2014",0
"460","Groveland",4,221,6789,"Essex","2014",1
"461","Hadley",4,242,5335,"Hampshire","2014",1
"462","Halifax",8,209,7855,"Plymouth","2014",0
"463","Hamilton",5,207,8051,"Essex","2014",1
"464","Hampden",3,247,5196,"Hampden","2014",2
"465","Hancock",1,337,698,"Berkshire","2014",0
"466","Hanover",10,139,14444,"Plymouth","2014",1
"467","Hanson",12,176,10777,"Plymouth","2014",0
"468","Hardwick",4,276,3025,"Worcester","2014",0
"469","Harvard",1,225,6569,"Worcester","2014",0
"470","Harwich",11,161,12145,"Barnstable","2014",1
"471","Hatfield",7,270,3299,"Hampshire","2014",1
"472","Haverhill",138,15,63639,"Essex","2014",35
"473","Hawley",0,344,337,"Franklin","2014",0
"474","Heath",0,336,699,"Franklin","2014",0
"475","Hingham",3,86,23415,"Plymouth","2014",0
"476","Hinsdale",5,290,1932,"Berkshire","2014",2
"477","Holbrook",22,174,11026,"Norfolk","2014",4
"478","Holden",15,100,18943,"Worcester","2014",5
"479","Holland",1,283,2496,"Hampden","2014",0
"480","Holliston",10,136,14753,"Middlesex","2014",0
"481","Holyoke",48,38,40341,"Hampden","2014",10
"482","Hopedale",7,236,5976,"Worcester","2014",4
"483","Hopkinton",10,109,18035,"Middlesex","2014",3
"484","Hubbardston",6,254,4715,"Worcester","2014",2
"485","Hudson",15,95,19944,"Middlesex","2014",1
"486","Hull",18,179,10449,"Plymouth","2014",2
"487","Huntington",0,286,2186,"Hampshire","2014",0
"488","Ipswich",14,144,13995,"Essex","2014",4
"489","Kingston",12,151,13565,"Plymouth","2014",2
"490","Lakeville",7,168,11424,"Plymouth","2014",1
"491","Lancaster",6,205,8074,"Worcester","2014",1
"492","Lanesborough",4,279,2965,"Berkshire","2014",0
"493","Lawrence",145,13,80162,"Essex","2014",25
"494","Lee",8,238,5725,"Berkshire","2014",2
"495","Leicester",11,169,11373,"Worcester","2014",1
"496","Lenox",3,250,4957,"Berkshire","2014",0
"497","Leominster",52,36,41615,"Worcester","2014",10
"498","Leverett",1,295,1853,"Franklin","2014",0
"499","Lexington",8,51,33727,"Middlesex","2014",2
"500","Leyden",0,335,715,"Franklin","2014",0
"501","Lincoln",1,222,6781,"Middlesex","2014",0
"502","Littleton",3,181,10115,"Middlesex","2014",0
"503","Longmeadow",6,129,15864,"Hampden","2014",0
"504","Lowell",246,5,111346,"Middlesex","2014",39
"505","Ludlow",18,91,21502,"Hampden","2014",2
"506","Lunenburg",11,171,11312,"Worcester","2014",2
"507","Lynn",221,9,94063,"Essex","2014",42
"508","Lynnfield",7,154,12942,"Essex","2014",2
"509","Malden",82,17,61246,"Middlesex","2014",18
"510","Manchester",2,NA,5393,"Essex","2014",0
"511","Mansfield",25,82,23946,"Bristol","2014",2
"512","Marblehead",12,93,20554,"Essex","2014",0
"513","Marion",4,248,5107,"Plymouth","2014",1
"514","Marlborough",29,41,39873,"Middlesex","2014",9
"515","Marshfield",32,76,25836,"Plymouth","2014",5
"516","Mashpee",27,142,14191,"Barnstable","2014",3
"517","Mattapoisett",5,229,6330,"Plymouth","2014",0
"518","Maynard",7,177,10665,"Middlesex","2014",2
"519","Medfield",1,155,12845,"Norfolk","2014",0
"520","Medford",78,20,57797,"Middlesex","2014",14
"521","Medway",5,152,13329,"Norfolk","2014",0
